num	count	word
1038	1	pentagon	
1039	24	people	
1040	4	per	
1041	3	percent	
1042	1	persecution	
1043	1	persistent	
1044	1	personalized	
1045	1	phony	
1046	1	physical	
1047	1	picked	
1048	1	pillar	
1049	1	pipeline	
1050	1	place	
1051	1	plains	
1052	5	plan	
1053	4	planet	
1054	1	platform	
1055	2	play	
1056	1	playing	
1057	1	plays	
1058	1	pockets	
1059	2	point	
1060	1	pointed	
1061	1	police	
1062	1	policies	
1063	2	policy	
1064	1	polio	
1065	1	political	
1066	7	politics	
1067	1	pollution	
1068	1	pope	
1069	1	population	
1070	1	ports	
1071	1	pose	
1072	2	poses	
1073	1	possibility	
1074	3	possible	
1075	1	pot	
1076	2	potential	
1077	1	poverty	
1078	8	power	
1079	1	practical	
1080	1	practices	
1081	1	precision	
1082	1	predatory	
1083	1	pregnancies	
1084	1	premiums	
1085	2	prepare	
1086	1	presents	
1087	1	presidency	
1088	5	president	
1089	2	press	
1090	3	prevent	
1091	1	prevents	
1092	1	priced	
1093	1	prices	
1094	1	principle	
1095	1	principles	
1096	2	priority	
1097	2	prison	
1098	1	prisoner	
1099	1	prisoners	
1100	3	privacy	
1101	1	produce	
1102	1	production	
1103	1	products	
1104	1	profits	
1105	1	profound	
1106	3	program	
1107	1	programs	
1108	3	progress	
1109	1	prohibited	
1110	1	promise	
1111	2	promised	
1112	1	promotion	
1113	2	proof	
1114	1	propelled	
1115	1	properly	
1116	1	proposals	
1117	1	prosperous	
1118	1	prosthetics	
1119	9	protect	
1120	1	protections	
1121	1	protects	
1122	1	prouder	
1123	1	provided	
1124	3	public	
1125	1	pull	
1126	1	pump	
1127	1	pundits	
1128	2	purpose	
1129	1	pushing	
1130	5	put	
1131	1	putin	
1132	1	putting	
1133	3	quality	
1134	1	quarter	
1135	2	question	
1136	1	race	
1137	1	races	
1138	4	raise	
1139	1	ran	
1140	1	range	
1141	1	rash	
1142	5	rate	
1143	2	rather	
1144	20	re	
1145	3	reach	
1146	1	react	
1147	1	reacting	
1148	1	reaction	
1149	1	reactive	
1150	1	read	
1151	1	reading	
1152	1	ready	
1153	1	real	
1154	2	really	
1155	2	reason	
1156	1	reassuring	
1157	9	rebekah	
1158	2	rebuild	
1159	1	rebuilding	
1160	1	recapture	
1161	2	recession	
1162	1	recognize	
1163	1	recommendations	
1164	3	record	
1165	1	recovery	
1166	1	recruit	
1167	1	red	
1168	2	reduce	
1169	1	reduced	
1170	1	refighting	
1171	2	reflect	
1172	1	reform	
1173	1	refuses	
1174	1	region	
1175	1	regulations	
1176	1	reject	
1177	1	relent	
1178	1	relentlessly	
1179	1	relief	
1180	1	relieve	
1181	1	religious	
1182	1	rely	
1183	1	remain	
1184	1	remains	
1185	1	remaking	
1186	1	removes	
1187	1	repeat	
1188	2	report	
1189	1	reporters	
1190	1	represent	
1191	2	republican	
1192	6	republicans	
1193	3	require	
1194	1	required	
1195	2	research	
1196	1	reserve	
1197	1	reshaping	
1198	1	resilience	
1199	1	resolution	
1200	2	resolve	
1201	1	resort	
1202	2	respect	
1203	1	response	
1204	1	responsibly	
1205	1	rest	
1206	1	restore	
1207	1	restrictions	
1208	1	resurfaced	
1209	2	retirement	
1210	1	retooled	
1211	1	retrained	
1212	1	reverse	
1213	1	reversed	
1214	1	revolutionary	
1215	1	reward	
1216	1	rewarding	
1217	1	rewards	
1218	2	rich	
1219	1	riddled	
1220	1	rigged	
1221	11	right	
1222	1	rights	
1223	1	rise	
1224	1	risen	
1225	2	rising	
1226	3	risk	
1227	1	risks	
1228	1	ritual	
1229	2	road	
1230	1	robotics	
1231	1	rocks	
1232	1	rolling	
1233	1	ruin	
1234	6	rules	
1235	2	run	
1236	1	russia	
1237	1	russian	
1238	95	s	
1239	1	sacred	
1240	2	sacrifice	
1241	2	sacrificed	
1242	3	safe	
1243	1	safeguards	
1244	2	safer	
1245	4	said	
1246	1	salute	
1247	5	same	
1248	3	sanctions	
1249	2	save	
1250	1	saving	
1251	1	savings	
